parkinggeohash,avglatitude,avglongitude,city,county,state,country,iso_3166_2,avgtimetopark,avgtimetoparkratio,totalsearching,percentsearching,avguniquegeohashes,avgtotalgeohashes,circlingdistribution,hourlydistribution,percentcar,percentmpv,percentldt,percentmdt,percenthdt,percentother,updatedate,version
dpj5c4y,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,7,1,6,0,6,9,"{""dpj5c4y"":0.1125, ""dpj5c4z"":0.0833, ""dpj5c5n"":0.2727, ""dpj5c5j"":0.0553, ""dpj5c4x"":0.0509, ""dpj5c5p"":0.0786, ""dpj5c4v"":0.117, ""dpj5c4t"":0.1044, ""dpj5c4w"":0.1253}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": 0.25, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr78,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,13,0,4,7,"{""dphgr79"":0.0778, ""dphgr5x"":0.293, ""dphgr73"":0.0403, ""dphgr5r"":0.0721, ""dphgr7b"":0.22, ""dphgr78"":0.1231, ""dphgr72"":0.1192, ""dphgr5z"":0.0181, ""dphgr7c"":0.0363}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1429, ""07"": 0.1429, ""08"": 0.1429, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgm1f,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,14,0,4,7,"{""dphgm1g"":0.1085, ""dphgm44"":0.1523, ""dphgm41"":0.0649, ""dphgm1e"":0.1091, ""dphgm19"":0.0901, ""dphgm1f"":0.3, ""dphgm1d"":0.1752}","{""00"": null, ""01"": null, ""02"": 0.2, ""03"": 0.2, ""04"": 0.2, ""05"": 0.2, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrhx,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,8,0,4,7,"{""dphgrk2"":0.0334, ""dphgrhx"":0.3295, ""dphgrk8"":0.0459, ""dphgrhy"":0.1169, ""dphgrhq"":0.0891, ""dphgrhr"":0.0863, ""dphgrhz"":0.119, ""dphgrhw"":0.18}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.125, ""07"": null, ""08"": 0.125, ""09"": 0.125, ""10"": null, ""11"": 0.125, ""12"": null, ""13"": null, ""14"": 0.125, ""15"": 0.125, ""16"": 0.125, ""17"": null, ""18"": null, ""19"": 0.125, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrjq,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,7,0,5,9,"{""dphgrjw"":0.2093, ""dphgrjp"":0.1062, ""dphgrjn"":0.0618, ""dphgrjm"":0.1063, ""dphgrjt"":0.1879, ""dphgrjq"":0.2155, ""dphgrjj"":0.0448, ""dphgrjr"":0.068}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.1667, ""12"": 0.1667, ""13"": 0.1667, ""14"": 0.1667, ""15"": 0.1667, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,1,0,0,0,2018-05-02,1
dphg7yu,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,6,0,5,8,"{""dphg7yg"":0.0462, ""dphg7zh"":0.0475, ""dphg7z5"":0.3592, ""dphg7ys"":0.3022, ""dphg7yu"":0.0978, ""dphg7ye"":0.0399, ""dphg7yv"":0.0555, ""dphg7yt"":0.0094, ""dphg7zj"":0.0424}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.3333, ""12"": 0.3333, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.3333, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgwbz,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,17,0,4,7,"{""dphgwbz"":0.1857, ""dphgwbw"":0.1457, ""dphgwcp"":0.2067, ""dphgx08"":0.0508, ""dphgwcn"":0.124, ""dphgx0b"":0.0474, ""dphgwbx"":0.0326, ""dphgx10"":0.0678, ""dphgwby"":0.1391}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": 0.2, ""10"": 0.2, ""11"": 0.2, ""12"": 0.2, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpjh03d,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,10,0,5,8,"{""dpjh037"":0.0689, ""dpjh03e"":0.196, ""dpjh033"":0.0701, ""dpjh03d"":0.5383, ""dpjh039"":0.0046, ""dpjh036"":0.1221}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1667, ""10"": 0.1667, ""11"": null, ""12"": 0.1667, ""13"": 0.1667, ""14"": 0.1667, ""15"": 0.1667, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgnf6,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,6,0,5,9,"{""dphgnf4"":0.065, ""dphgnf3"":0.1862, ""dphgnf1"":0.0448, ""dphgnf6"":0.3566, ""dphgnf7"":0.0519, ""dphgnf5"":0.2955}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": 0.2, ""13"": null, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrhw,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,12,0,5,7,"{""dphgrhv"":0.0296, ""dphgrhz"":0.1027, ""dphgrhx"":0.1763, ""dphgrhr"":0.097, ""dphgrhy"":0.1832, ""dphgrhw"":0.2065, ""dphgrhm"":0.0304, ""dphgrhq"":0.0641, ""dphgrht"":0.1102}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1176, ""07"": null, ""08"": 0.1176, ""09"": 0.1176, ""10"": 0.1176, ""11"": 0.1176, ""12"": 0.1765, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.1176, ""17"": null, ""18"": 0.1176, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
