entity,termdt,multno,ent due,ent ovp,conf dt,hold ct,last seiz,seiz stat,seiz dt,nix dt,ticket,iss dt,badge,viol,fine,location,iss time,meter,lat,long,clean up,clean address
2910556,0,0,$160.00,$0.00,2013149,0,0,,0,0,5561575032,2013128,2,72,$45.00,FULTON ST W,929,WA13,39.95333,-82.99946,meter,
3344191,0,0,$65.00,$0.00,2017263,1,0,,0,0,5562315842,2013299,7,29,$25.00,TOWN ST E,1036,EI537,39.960167,-82.98754,meter,
3340889,0,0,$0.00,$0.00,2017228,0,2017284,,2017284,2014261,5562320860,2013288,19,29,$25.00,HIGH ST N,1701,K946,39.98684,-83.00533,meter,
3293985,0,0,$0.00,$0.00,2017270,0,0,,0,0,5561550764,2013095,19,72,$45.00,GAY ST E,1526,EP44,39.96388,-82.99917,meter,
3327684,0,0,$0.00,$0.00,2017256,0,0,,0,0,5561824733,2013236,19,72,$45.00,GOODALE ST W,2154,K119,39.973633,-83.00707,meter,
3287846,0,0,$0.00,$0.00,2015014,0,2014023,,2014024,0,5561365172,2013059,7,29,$25.00,STATE ST E,1207,EK261,39.960884,-82.99322,meter,
3131269,0,0,$60.00,$0.00,2014001,0,0,,0,0,5562577406,2013346,19,29,$25.00,HIGH ST N,2152,K574,39.9765,-83.003296,meter,
3278469,0,0,$0.00,$0.00,0,0,2017193,,2017193,0,5561244971,2013017,19,72,$45.00,RUSSELL ST W,2111,K220,39.975468,-83.00428,meter,
3167190,0,0,$20.00,$0.00,2013156,1,0,,0,0,5561390092,2013063,20,72,$45.00,HIGH ST N,2110,K518,39.975464,-83.003105,meter,
3287846,0,0,$0.00,$0.00,2015014,0,2014023,,2014024,0,5561472876,2013100,16,29,$25.00,CIVIC CENTER DR,1008,SG127,39.956364,-83.003136,meter,
2739835,0,0,$0.00,$0.00,0,0,2007108,,2007109,0,5562373710,2013305,7,72,$45.00,FULTON ST E,1029,EA25,39.95354,-82.99774,meter,
3328741,0,0,$0.00,$0.00,2014085,0,2017251,,2017251,0,5562113866,2013240,17,29,$25.00,PARK ST,1821,NI603,39.97168,-83.00476,meter,
3065004,0,0,$170.00,$0.00,2017263,1,0,,0,0,5562244081,2013268,14,72,$45.00,FULTON ST E,929,EA9,39.953465,-82.99837,meter,
3332156,0,0,$150.00,$0.00,2017296,0,0,,0,0,5562170242,2013305,13,29,$25.00,SPRUCE ST W,2108,WBB51,39.972237,-83.00362,meter,
3175676,0,0,$0.00,$0.00,2013359,0,0,,0,0,5562519671,2013338,19,72,$45.00,PARK ST,2036,K332,39.97502,-83.00464,meter,
3095414,0,0,$0.00,$0.00,2017263,0,0,,0,0,5562117856,2013249,19,29,$25.00,HIGH ST N,2127,K631,39.97827,-83.00389,meter,
3282104,0,0,$0.00,$0.00,0,0,2013102,,2013104,0,5561296583,2013033,19,13,$50.00,HIGH ST N,1811,K603,39.977406,-83.00369,meter,
3236432,0,0,$150.00,$0.00,2016258,0,0,,0,0,5562573490,2013351,13,29,$25.00,PARK ST,1920,NI667,39.97322,-83.00465,meter,
