Device,Trip,Time,NativeFlag,LocalTimeMS,IntersectId,LaneId,MovementPhase,SignalGroupId,MinEndTime
2004,32,107050,1,83674128,4096,4,1,6,8875
2004,32,107100,1,83674628,4096,4,1,6,8875
2004,32,107150,1,83675128,4096,4,1,6,8875
2004,33,1050,0,107741,4096,4,1,6,1065
2004,33,1100,0,108241,4096,4,1,6,1200
2004,33,1150,0,108741,4096,4,1,6,1200
2004,33,1200,0,109241,4096,4,1,6,1200
2004,33,1250,0,109741,4096,4,1,6,1200
2004,33,1300,0,110241,4096,4,1,6,1200
2004,33,1350,0,110741,4096,4,1,6,1200
2004,33,1400,0,111241,4096,4,1,6,1200
2004,33,1450,0,111741,4096,4,1,6,1200
2004,33,1500,0,112241,4096,4,1,6,1200
2004,33,1550,0,112741,4096,4,1,6,1200
2004,33,1600,0,113241,4096,4,1,6,1200
2004,33,1650,0,113741,4096,4,1,6,1200
2004,33,1700,0,114241,4096,4,1,6,1200
2004,33,1750,0,114741,4096,4,1,6,1200
2004,33,1800,0,115243,4096,4,1,6,1200
2004,33,1850,0,115842,4096,4,1,6,1200
2004,33,1900,0,116342,4096,4,1,6,1200
2004,33,1950,0,116842,4096,4,1,6,1200
2004,33,2000,0,117342,4096,4,1,6,1200
2004,33,2050,0,117842,4096,4,1,6,1200
2004,33,2100,0,118342,4096,4,1,6,1200
2004,33,2150,0,118842,4096,4,1,6,1200
2004,33,2200,0,119342,4096,4,1,6,1200
2004,33,2250,0,119842,4096,4,1,6,1200
2004,33,2300,0,120342,4096,4,1,6,1200
2004,33,2350,0,120842,4096,4,2,6,1235
2004,44,23650,0,83416270,2103,11,4,4,6162
2004,44,23700,0,83416770,2103,11,1,4,6262
2004,44,23750,0,83417270,2103,11,1,4,6262
2004,44,23800,0,83417770,2103,11,1,4,6262
2004,44,23850,0,83418270,2103,11,1,4,6262
2004,44,23900,0,83418770,2103,11,1,4,6262
2004,44,23950,0,83419270,2103,11,1,4,6262
2004,44,24000,0,83419770,2103,11,1,4,6262
2004,44,24050,0,83420270,2103,11,1,4,6262
2004,44,24100,0,83420770,2103,11,1,4,6262
2004,44,24150,0,83421270,2103,11,1,4,6262
2004,44,24200,0,83421770,2103,11,1,4,6262
2004,47,23250,0,82263947,2103,11,4,4,30719
2004,47,23300,0,82264447,2103,11,4,4,30725
2004,47,23350,0,82264947,2103,11,4,4,30730
2004,47,23400,0,82265447,2103,11,4,4,30734
